loanID,origChannel,sellerName,origIntRate,orgUPB,orgLoanTerm,orginationDate,firstPaymentDate,orgLTV,orgCombinedLTV,numBorrowers,orgDebttoIncomeRatio,borrowerCreditScoreAtOrigination,firstTimeHomeBuyer,loanPurpose,propType,numUnits,occType,propertyState,zipCodeShort,priMortgageInsurancePercent,prodType,coBorrowerCreditScoreAtOrigination,mortInsType,reloMortIndicator,delinquency
134718732729,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,7.625,166000,360,11/1999,01/2000,80,,1.0,34.0,631.0,N,P,SF,1,P,NJ,80,,FRM,,,N,More than 90 d
134739798581,R,OTHER,7.5,129000,180,12/1999,02/2000,79,,2.0,20.0,753.0,N,C,SF,1,P,FL,338,,FRM,757.0,,N,90 days
134741170567,C,AMTRUST BANK,7.0,108000,360,12/1999,02/2000,68,,2.0,17.0,770.0,N,P,SF,1,P,OH,440,,FRM,795.0,,N,More than 90 d
134747187043,C,NETBANK FUNDING SERVICES,8.875,39000,360,02/2000,04/2000,57,,1.0,35.0,676.0,N,R,SF,1,P,OH,453,,FRM,,,N,More than 90 d
134748102831,R,OTHER,8.375,70000,360,02/2000,04/2000,28,,2.0,23.0,793.0,N,P,CO,1,P,CA,917,,FRM,781.0,,N,More than 90 d
134748360312,C,SUNTRUST MORTGAGE INC.,7.75,77000,360,11/1999,01/2000,58,,4.0,34.0,786.0,N,C,SF,1,P,UT,840,,FRM,719.0,,N,More than 90 d
134766448176,B,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,8.75,133000,360,11/1999,01/2000,95,,3.0,24.0,672.0,Y,P,SF,1,P,IL,606,30.0,FRM,,1.0,N,More than 90 d
134774688438,R,OTHER,7.75,60000,180,02/2000,04/2000,67,,2.0,25.0,672.0,N,C,SF,1,P,GA,302,,FRM,703.0,,N,More than 90 d
134776980033,B,OTHER,5.95,72000,360,11/1999,01/2000,80,,1.0,27.0,679.0,Y,P,SF,1,P,AZ,850,,FRM,,,N,More than 90 d
134781934260,C,JPMORGAN CHASE BANK  NA,8.25,184000,360,01/2000,03/2000,80,,2.0,31.0,643.0,N,P,SF,1,P,LA,707,,FRM,708.0,,N,90 days
134788070434,C,NETBANK FUNDING SERVICES,6.875,214000,180,01/2000,03/2000,80,,2.0,29.0,782.0,N,P,SF,1,P,OH,452,,FRM,771.0,,N,More than 90 d
134794542336,R,JPMORGAN CHASE BANK  NA,8.375,88000,360,12/1999,02/2000,80,,2.0,17.0,762.0,N,P,SF,1,P,IL,620,,FRM,738.0,,N,More than 90 d
134797879503,R,CITIMORTGAGE  INC.,7.875,58000,360,12/1999,03/2000,80,,1.0,51.0,571.0,N,R,SF,1,P,MD,212,,FRM,,,N,More than 90 d
134803410780,B,BANK OF AMERICA  N.A.,8.25,156000,360,03/2000,04/2000,95,,1.0,44.0,678.0,N,P,SF,1,P,IL,600,30.0,FRM,,1.0,N,More than 90 d
134804444731,R,BISHOPS GATE RESIDENTIAL MORTGAGE TRUST,7.625,143000,360,01/2000,03/2000,90,,1.0,36.0,737.0,N,P,SF,1,P,KY,402,17.0,FRM,,1.0,Y,More than 90 d
134809314750,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,7.75,230000,180,12/1999,02/2000,77,,2.0,40.0,716.0,N,C,SF,1,P,CO,801,,FRM,764.0,,N,More than 90 d
134811312835,R,BANK OF AMERICA  N.A.,9.375,71000,360,03/2000,05/2000,95,,2.0,39.0,742.0,Y,P,SF,1,P,TN,378,25.0,FRM,751.0,2.0,N,More than 90 d
134812748839,R,GMAC MORTGAGE  LLC,8.75,83000,360,01/2000,03/2000,97,,1.0,,704.0,N,P,SF,1,P,MI,481,18.0,FRM,,1.0,N,More than 90 d
134816548864,R,OTHER,8.5,126000,360,03/2000,04/2000,90,,1.0,29.0,717.0,Y,P,CO,1,P,MA,21,17.0,FRM,,1.0,N,More than 90 d
134823419125,R,JPMORGAN CHASE BANK  NA,8.0,146000,360,11/1999,01/2000,95,,1.0,51.0,719.0,Y,P,SF,2,P,MA,23,25.0,FRM,,1.0,N,More than 90 d
134856137069,B,BANK OF AMERICA  N.A.,8.375,131000,360,02/2000,04/2000,80,,2.0,23.0,779.0,Y,P,SF,1,P,CA,935,,FRM,767.0,,N,More than 90 d
134861900868,R,JPMORGAN CHASE BANK  NA,7.5,58000,360,12/1999,02/2000,97,,1.0,29.0,767.0,N,P,SF,1,P,WA,986,30.0,FRM,,1.0,N,More than 90 d
134890314419,R,BANK OF AMERICA  N.A.,8.375,85000,360,01/2000,03/2000,80,,2.0,35.0,758.0,N,P,SF,1,P,OK,730,,FRM,782.0,,N,More than 90 d
134890810509,R,BANK OF AMERICA  N.A.,7.75,72000,180,02/2000,04/2000,80,,1.0,38.0,712.0,N,P,SF,1,P,TN,374,,FRM,,,N,More than 90 d
134894492513,R,GMAC MORTGAGE  LLC,8.25,85000,360,12/1999,02/2000,73,,1.0,39.0,630.0,N,C,CO,1,P,IL,601,,FRM,,,N,More than 90 d
134906768916,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,7.5,105000,360,12/1999,01/2000,75,,2.0,,701.0,N,R,SF,1,P,CT,67,,FRM,698.0,,N,More than 90 d
134909895554,C,BANK OF AMERICA  N.A.,7.875,191000,360,12/1999,02/2000,95,,2.0,47.0,743.0,N,P,PU,1,P,OH,450,25.0,FRM,752.0,1.0,N,More than 90 d
134915824207,R,OTHER,7.875,55000,360,01/2000,03/2000,58,,2.0,54.0,711.0,Y,P,SF,1,P,NV,894,,FRM,,,N,More than 90 d
134920384077,R,GMAC MORTGAGE  LLC,7.5,106000,360,11/1999,01/2000,79,,1.0,36.0,661.0,N,R,SF,1,P,FL,336,,FRM,,,N,More than 90 d
134940603431,R,HARWOOD STREET FUNDING I  LLC,8.0,195000,360,12/1999,02/2000,90,,2.0,,711.0,N,P,SF,1,P,MN,550,25.0,FRM,726.0,1.0,N,90 days
134944713815,B,JPMORGAN CHASE BANK  NA,8.0,124000,360,02/2000,04/2000,80,95.0,2.0,38.0,793.0,Y,P,SF,1,P,MD,219,,FRM,771.0,,N,More than 90 d
134955502275,B,CITIMORTGAGE  INC.,8.625,80000,360,02/2000,04/2000,80,,2.0,63.0,764.0,N,P,CO,1,S,MO,656,,FRM,,,N,More than 90 d
134957461658,C,OTHER,9.375,98000,360,02/2000,04/2000,95,,2.0,30.0,,N,P,SF,1,P,IN,461,30.0,FRM,708.0,1.0,N,not delinquent
134958890022,C,FLAGSTAR BANK  FSB,7.5,140000,360,11/1999,01/2000,90,,4.0,46.0,790.0,N,P,SF,1,S,CA,956,25.0,FRM,704.0,1.0,N,More than 90 d
134966968790,B,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,7.875,159000,180,01/2000,03/2000,58,,1.0,41.0,682.0,N,R,SF,1,P,CA,945,,FRM,,,N,90 days
134969068120,R,BISHOPS GATE RESIDENTIAL MORTGAGE TRUST,8.25,76000,360,01/2000,03/2000,95,,1.0,60.0,714.0,N,P,SF,1,P,NY,125,30.0,FRM,,1.0,N,More than 90 d
134974104165,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,9.5,57000,360,02/2000,04/2000,75,,2.0,41.0,610.0,N,C,SF,1,P,TX,754,,FRM,607.0,,N,More than 90 d
134979292788,C,GMAC MORTGAGE  LLC,8.0,149000,360,01/2000,03/2000,90,,2.0,36.0,747.0,N,P,SF,1,P,NJ,80,17.0,FRM,716.0,1.0,N,90 days
134981529893,C,JPMORGAN CHASE BANK  NA,8.125,98000,360,01/2000,03/2000,80,,2.0,30.0,731.0,N,P,SF,1,P,IA,522,,FRM,777.0,,N,More than 90 d
