loanID,origChannel,sellerName,origIntRate,orgUPB,orgLoanTerm,orginationDate,firstPaymentDate,orgLTV,orgCombinedLTV,numBorrowers,orgDebttoIncomeRatio,borrowerCreditScoreAtOrigination,firstTimeHomeBuyer,loanPurpose,propType,numUnits,occType,propertyState,zipCodeShort,priMortgageInsurancePercent,prodType,coBorrowerCreditScoreAtOrigination,mortInsType,reloMortIndicator
112056195638,R,BISHOPS GATE RESIDENTIAL MORTGAGE TRUST,7.375,118000,360,12/1999,02/2000,74,,2,17,777,Y,P,SF,1,P,UT,840,,FRM,783,,Y
112062448570,R,RBC MORTGAGE COMPANY,8.625,134000,360,02/2000,04/2000,62,,2,22,792,N,P,SF,1,I,CA,954,,FRM,782,,N
112062758372,R,OTHER,7.625,75000,360,01/2000,03/2000,80,,2,29,,N,P,SF,1,S,HI,967,,FRM,773,,N
112063011695,C,JPMORGAN CHASE BANK  NA,7.625,150000,360,12/1999,02/2000,72,,2,42,810,N,P,SF,1,P,OR,970,,FRM,745,,N
112065507025,R,JPMORGAN CHASE BANK  NA,8.25,46000,180,11/1999,01/2000,61,,1,,,N,P,SF,1,P,CT,064,,FRM,,,N
112083255020,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,8.125,129000,360,01/2000,03/2000,97,,2,23,653,Y,P,SF,1,P,ID,837,18,FRM,739,1,N
112084392376,R,OTHER,7.625,19000,180,02/2000,04/2000,14,,2,38,763,N,R,PU,1,P,TX,760,,FRM,763,,N
112094476276,C,OTHER,9.125,200000,360,01/2000,03/2000,44,,2,47,761,N,P,SF,1,S,NJ,080,,FRM,752,,N
112094909747,B,BANK OF AMERICA  N.A.,8.75,126000,360,01/2000,03/2000,90,,2,24,651,Y,P,SF,1,P,MA,020,25,FRM,651,2,N
112095456581,C,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,7.875,150000,180,02/2000,04/2000,35,,2,16,761,N,C,SF,1,P,NY,110,,FRM,771,,N
112102318607,R,JP MORGAN CHASE BANK  NA,7.875,81000,360,11/1999,01/2000,95,,1,28,696,N,P,SF,1,P,IN,461,30,FRM,,1,N
112105643828,B,JPMORGAN CHASE BANK  NA,8.125,119000,360,11/1999,01/2000,97,,2,39,731,Y,P,SF,1,P,CA,955,18,FRM,724,1,N
112108349970,C,BANK OF AMERICA  N.A.,8,75000,180,01/2000,03/2000,75,,2,40,741,N,P,SF,1,P,CO,801,,FRM,745,,N
112117065614,R,BANK OF AMERICA  N.A.,8,110000,180,02/2000,04/2000,80,,2,18,719,N,P,SF,1,S,AZ,863,,FRM,805,,N
112117958298,B,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,8.125,161000,360,01/2000,03/2000,92,,2,31,768,Y,P,SF,1,P,FL,328,30,FRM,,1,N
112118871644,B,OTHER,8.375,143000,360,12/1999,01/2000,89,,1,40,627,N,R,SF,2,P,IL,606,25,FRM,,1,N
112121557343,R,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,8.125,128000,360,12/1999,02/2000,70,,1,23,652,N,P,CP,1,P,NY,100,,FRM,,,N
112135298579,C,GMAC MORTGAGE  LLC,8,228000,360,02/2000,04/2000,80,,2,45,733,N,P,SF,1,P,NJ,077,,FRM,754,,N
112137232202,R,JP MORGAN CHASE BANK  NA,8,100000,180,02/2000,03/2000,55,,2,20,792,N,R,SF,1,P,IN,467,,FRM,792,,N
112139984487,B,JPMORGAN CHASE BANK  NA,7.25,148000,360,08/1999,10/1999,80,,2,53,755,N,R,PU,1,P,PA,189,,FRM,760,,N
112155889535,R,CITIMORTGAGE  INC.,7.5,240000,180,12/1999,02/2000,72,,1,,752,N,P,CO,1,P,FL,331,,FRM,,,N
112161603081,R,OTHER,8.5,194000,360,02/2000,04/2000,46,,2,58,790,N,P,SF,1,P,CA,920,,FRM,788,,N
112175664674,C,SUNTRUST MORTGAGE INC.,7.875,50000,360,12/1999,02/2000,90,,2,20,628,N,P,SF,1,P,SC,296,25,FRM,740,1,N
112182493948,C,GE MORTGAGE SERVICES  LLC,8.25,63000,120,02/2000,04/2000,31,,1,42,525,N,C,SF,1,P,MA,018,,FRM,,,N
112199020622,B,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,9,253000,360,01/2000,03/2000,95,,2,29,746,N,P,SF,1,P,CA,930,30,FRM,,1,N
112215598505,R,CITIMORTGAGE  INC.,8,135000,360,11/1999,01/2000,90,,2,42,662,N,R,SF,1,P,NM,871,17,FRM,,1,N
112225094008,B,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,8.375,60000,180,02/2000,03/2000,80,,1,50,780,N,P,SF,2,I,PA,191,,FRM,,,N
112227610770,B,FLAGSTAR BANK  FSB,8.25,96000,360,02/2000,04/2000,79,,1,20,524,N,C,SF,1,P,MD,217,,FRM,,,N
112239743068,R,BANK OF AMERICA  N.A.,8,104000,360,12/1999,02/2000,80,,2,36,724,Y,P,SF,1,P,PA,150,,FRM,725,,N
112242944072,B,OTHER,8.25,102000,360,01/2000,03/2000,95,,2,35,737,N,P,SF,1,P,CA,922,25,FRM,,1,N
112243879552,B,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,8,160000,360,12/1999,02/2000,78,,2,34,671,N,R,SF,1,P,MD,216,,FRM,,,N
112246964330,R,OTHER,7.5,198000,360,01/2000,03/2000,80,,1,25,694,N,P,PU,1,P,GA,300,,FRM,,,N
112250305005,R,BISHOPS GATE RESIDENTIAL MORTGAGE TRUST,7.375,69000,360,12/1999,02/2000,58,,2,28,714,N,P,SF,1,P,GA,315,,FRM,724,,Y
112256710575,B,OTHER,8.5,100000,360,12/1999,02/2000,61,,2,29,692,N,C,SF,1,P,WV,257,,FRM,796,,N
112262601345,R,GMAC MORTGAGE  LLC,8,69000,180,01/2000,03/2000,74,,2,47,662,N,C,SF,1,P,ME,044,,FRM,649,,N
112267648581,R,USAA FEDERAL SAVINGS BANK,8,103000,360,12/1999,02/2000,95,,1,28,738,Y,P,SF,1,P,OH,432,30,FRM,,1,N
112279594055,B,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,8.25,116000,360,11/1999,01/2000,91,,2,25,691,N,P,SF,1,P,IN,462,35,FRM,,1,N
112285523313,C,BANK OF AMERICA  N.A.,8.875,35000,360,02/2000,04/2000,13,,2,6,784,N,P,SF,1,P,FL,328,,FRM,768,,N
112286527840,R,BANK OF AMERICA  N.A.,8.75,114000,360,12/1999,02/2000,95,,2,21,678,Y,P,SF,1,P,FL,338,30,FRM,674,2,N
112294279660,C,JPMORGAN CHASE BANK  NA,7.125,92000,180,02/2000,04/2000,42,,2,10,675,N,R,SF,1,P,AR,720,,FRM,751,,N
112295289931,R,JP MORGAN CHASE BANK  NA,8,57000,360,12/1999,02/2000,66,,1,48,645,N,R,PU,1,P,MI,490,,FRM,,,N
